Ticker;SimFinId;Currency;"Fiscal Year";"Fiscal Period";"Report Date";"Publish Date";"Shares (Basic)";"Shares (Diluted)";"Net Income/Starting Line";"Depreciation & Amortization";"Provision for Loan Losses";"Non-Cash Items";"Change in Working Capital";"Net Cash from Operating Activities";"Change in Fixed Assets & Intangibles";"Net Change in Loans & Interbank";"Net Cash from Acquisitions & Divestitures";"Net Cash from Investing Activities";"Dividends Paid";"Cash from (Repayment of) Debt";"Cash from (Repurchase of) Equity";"Net Cash from Financing Activities";"Effect of Foreign Exchange Rates";"Net Change in Cash"
NKSH;129536;USD;2015;Q2;2015-06-30;2015-08-06;6952540;6956039;4110000;485000;355000;4551000;-6526000;2975000;-71000;-2679000;;10321000;;;;-14395000;;-1099000
NKSH;129536;USD;2015;Q3;2015-09-30;2015-11-05;6955126;6959168;4199000;483000;178000;5425000;-4214000;6071000;-451000;-5115000;;6613000;0;;35000;-11591000;;1093000
NKSH;129536;USD;2015;Q4;2015-12-31;2016-03-09;6957256;6958146;3558000;408000;1275000;4696000;-4428000;5509000;-83000;-34288000;;-57934000;-4244000;;46000;52131000;;-294000
NKSH;129536;USD;2016;Q1;2016-03-31;2016-05-09;6957974;6957974;3779000;329000;203000;2998000;-631000;6678000;-14000;12800000;;-8570000;;;;-347000;;-2239000
NKSH;129536;USD;2016;Q2;2016-06-30;2016-08-05;6957974;6957974;3865000;290000;654000;3063000;-6731000;1141000;-78000;30606000;;3867000;;;;-601000;;4407000
NKSH;129536;USD;2016;Q3;2016-09-30;2016-11-04;6957974;6957974;3828000;265000;291000;4809000;-3660000;5533000;-241000;-8150000;;3179000;0;;;-11730000;;-3018000
NKSH;129536;USD;2016;Q4;2016-12-31;2017-03-08;6957974;6957974;3470000;263000;502000;5920000;-5974000;4181000;-301000;-11685000;;-30699000;-4244000;;;29190000;;2672000
NKSH;129536;USD;2017;Q1;2017-03-31;2017-05-10;6957974;6957974;3649000;252000;59000;2506000;-2926000;3540000;-26000;-9501000;;-6898000;;;;3038000;;-320000
NKSH;129536;USD;2017;Q2;2017-06-30;2017-08-09;6957974;6957974;3570000;222000;464000;2126000;-3902000;2480000;-78000;-6286000;;-15178000;;;;11980000;;-718000
NKSH;129536;USD;2017;Q3;2017-09-30;2017-11-08;6957974;6957974;3785000;227000;201000;4556000;-3750000;5019000;-103000;25695000;;24495000;0;;;-30384000;;-870000
NKSH;129536;USD;2017;Q4;2017-12-31;2018-03-14;6957974;6957974;3088000;230000;-567000;3004000;-5800000;-45000;168000;5289000;;-22612000;-4244000;;;23517000;;860000
NKSH;129536;USD;2018;Q1;2018-03-31;2018-05-09;6957974;6957974;3296000;230000;-472000;2594000;-124000;5524000;-102000;-14550000;;-21058000;;;;13206000;;-2328000
NKSH;129536;USD;2018;Q2;2018-06-30;2018-08-08;6957974;6957974;4041000;236000;342000;2101000;-2989000;3731000;-845000;19785000;;6396000;;;;-8195000;;1932000
NKSH;129536;USD;2018;Q3;2018-09-30;2018-11-07;6957974;6957974;4251000;209000;223000;5356000;-5049000;4990000;-154000;-8856000;;5618000;0;;;-11605000;;-997000
NKSH;129536;USD;2018;Q4;2018-12-31;2019-03-13;6957974;6957974;4563000;199000;-174000;1952000;-1010000;5530000;-90000;-23203000;;5436000;-4383000;;;-9617000;;1349000
NKSH;129536;USD;2019;Q1;2019-03-31;2019-05-08;6839733;6839733;4443000;187000;200000;1846000;-1580000;5096000;-355000;-18601000;;7088000;;;-17997000;-9734000;;2450000
NTRS;407194;USD;2008;Q3;2008-09-30;2009-10-30;221899198;221899198;-148300000;16600000;25000000;622400000;-168400000;347300000;-21800000;-3378100000;;-5391300000;-61900000;581900000;101100000;3325300000;-157200000;-1875900000
NTRS;407194;USD;2008;Q4;2008-12-31;2009-10-30;222951632;223492361;342300000;18600000;60000000;-470900000;-13900000;-63900000;-37900000;-961300000;;-3496900000;-62300000;459700000;1574400000;2476800000;-43500000;-1127500000
NTRS;407194;USD;2009;Q1;2009-03-31;2010-04-30;223357446;224401185;161800000;18900000;55000000;27200000;183900000;446800000;-50200000;4874300000;;1422400000;-82400000;1334000000;10600000;-2366700000;-46600000;-544100000
NTRS;407194;USD;2009;Q2;2009-06-30;2010-04-30;235455068;236346486;314200000;17800000;60000000;-83000000;-412600000;-103600000;-37100000;2562200000;;4406700000;-89300000;-354500000;-729200000;-3954700000;78800000;427200000
NTRS;407194;USD;2009;Q3;2009-09-30;2009-10-30;241415698;242631248;187900000;8000000;60000000;28600000;64800000;349300000;-19300000;-2847600000;;-2808300000;-67600000;-673300000;-84300000;2762000000;51600000;354600000
NTRS;407194;USD;2009;Q4;2009-12-31;2010-02-26;241819304;242285197;200300000;16800000;40000000;64100000;1000000;322200000;-26000000;-3676100000;;-4699400000;-67600000;1113700000;2200000;3980600000;2500000;-394100000
NTRS;407194;USD;2010;Q1;2010-03-31;2010-04-30;241724178;242513391;157200000;12800000;40000000;-43600000;-131600000;34800000;-19400000;4774400000;;5506000000;-67700000;-1292100000;200000;-5365900000;-15000000;159900000
NTRS;407194;USD;2010;Q2;2010-06-30;2010-08-26;242045799;242597066;199600000;11600000;50000000;77600000;393800000;732600000;-10900000;-703800000;;-2724500000;-67800000;1534800000;9000000;2896800000;-32400000;872500000
NTRS;407194;USD;2010;Q3;2010-09-30;2010-10-27;242124461;242158427;155600000;16000000;30000000;47800000;-97400000;152000000;-28300000;1112300000;;-477100000;-69100000;-394500000;41900000;152800000;137600000;-34700000
NTRS;407194;USD;2010;Q4;2010-12-31;2011-02-25;242220666;242741240;157100000;-2400000;40000000;5700000;-329600000;-129200000;-31900000;-3877000000;;-4072400000;-68600000;-1369000000;13600000;3461400000;68700000;-671500000
NTRS;407194;USD;2011;Q1;2011-03-31;2011-04-29;242126162;242969629;151000000;16500000;15000000;22800000;-132400000;72900000;-8900000;-6027400000;;-8005700000;-68600000;1367100000;-9800000;8684600000;23000000;774800000
NTRS;407194;USD;2011;Q2;2011-06-30;2011-07-29;241484195;241912058;152000000;10100000;10000000;63100000;255100000;490300000;-16200000;-727500000;;-3126500000;-68500000;271800000;-24000000;4025200000;117300000;1506300000
NTRS;407194;USD;2011;Q3;2011-09-30;2011-10-28;240991491;241193993;170400000;21900000;17500000;46400000;-956400000;-700200000;-30000000;6656700000;-101600000;2215900000;-68400000;-1515500000;14800000;-2061600000;-216600000;-762500000
NTRS;407194;USD;2011;Q4;2011-12-31;2012-02-24;241003392;241169856;130200000;6500000;12500000;30100000;1212000000;1391300000;-41800000;-4815400000;0;-6472100000;-68200000;107400000;15600000;5155400000;-95900000;-21300000
NTRS;407194;USD;2012;Q1;2012-03-31;2012-04-30;241090093;241556096;161200000;2800000;5000000;39300000;549300000;757600000;-9900000;8571900000;;7903100000;-67500000;-235000000;16200000;-8787300000;91600000;-35000000
NTRS;407194;USD;2012;Q2;2012-06-30;2012-07-27;240900839;241367982;179600000;7100000;5000000;50200000;-460200000;-218300000;-7000000;-5699700000;;-3294200000;-68600000;-88300000;-14200000;2909300000;-82800000;-686000000
NTRS;407194;USD;2012;Q3;2012-09-30;2012-10-26;240237014;240697062;178800000;18600000;10000000;49100000;-4600000;251900000;-11000000;647600000;;724000000;-73400000;-266800000;-23600000;-1173500000;0;-197600000
NTRS;407194;USD;2012;Q4;2012-12-31;2013-02-26;239443274;239903836;167700000;48100000;5000000;31600000;-229200000;23200000;-45400000;-1477800000;;-3705300000;-144800000;-269100000;-34000000;3978600000;59500000;356000000
NTRS;407194;USD;2013;Q1;2013-03-31;2013-04-30;239167559;240189215;164000000;23900000;5000000;37300000;82300000;312500000;-11900000;3579000000;;4438900000;-1100000;856300000;-23100000;-4667600000;-63000000;20800000
NTRS;407194;USD;2013;Q2;2013-06-30;2013-08-02;239738592;241040681;191100000;42000000;5000000;55900000;-1888200000;-1594200000;-19800000;-1568600000;;-1727800000;-70700000;199900000;41700000;4231100000;-51700000;857400000
NTRS;407194;USD;2013;Q3;2013-09-30;2013-10-25;239930074;241330652;206500000;29400000;5000000;27700000;1974000000;2242600000;-12100000;-1112400000;;-2201100000;-74500000;-477000000;-71300000;-1989300000;7600000;-1940200000
NTRS;407194;USD;2013;Q4;2013-12-31;2014-02-26;238225027;239658812;169700000;62800000;5000000;131600000;-490700000;-121600000;-48100000;-6732600000;;-6193300000;-74300000;625200000;-110800000;6814100000;-27500000;471700000
NTRS;407194;USD;2014;Q1;2014-03-31;2014-04-28;237208151;239050714;181400000;26000000;3000000;50600000;277500000;538500000;-13500000;2288400000;;-822100000;-75000000;-1005500000;-109000000;788100000;9400000;513900000
NTRS;407194;USD;2014;Q2;2014-06-30;2014-07-28;236012703;237753679;181900000;37700000;0;62000000;719900000;1001500000;-18900000;-1739500000;;-2262500000;-74900000;-1241700000;-59500000;1426900000;103000000;268900000
NTRS;407194;USD;2014;Q3;2014-09-30;2014-10-31;235701076;237737129;204500000;34400000;0;59400000;-564800000;-266500000;-18600000;-7481500000;;-5981300000;-75500000;1641900000;363800000;5276100000;-54600000;-1026300000
NTRS;407194;USD;2014;Q4;2014-12-31;2015-02-26;234397230;236339498;244000000;46800000;3000000;2800000;-634100000;-337500000;-30900000;2687300000;;831300000;-77500000;-199000000;-160000000;-417400000;29100000;105500000
NTRS;407194;USD;2015;Q1;2015-03-31;2015-04-28;233381168;235288695;230700000;33800000;-4500000;48700000;182100000;490800000;-25500000;5623400000;;2805900000;-86500000;834100000;-75000000;-2191300000;-81200000;1024200000
NTRS;407194;USD;2015;Q2;2015-06-30;2015-07-29;233149020;235232835;269200000;40400000;-10000000;68400000;668400000;1036400000;-17100000;-8528200000;;-10474400000;-82900000;482700000;-53100000;12421200000;87800000;3071000000
NTRS;407194;USD;2015;Q3;2015-09-30;2015-10-28;232231720;234163190;234600000;36200000;-10000000;61400000;-1365600000;-1043400000;-12700000;-4056900000;;-2854800000;-89600000;799800000;-128100000;1339500000;-112400000;-2671100000
NTRS;407194;USD;2015;Q4;2015-12-31;2016-02-29;230357488;232202196;239300000;44200000;-18500000;-95200000;1180800000;1350600000;-43200000;5069400000;;3623200000;-89400000;-34800000;-146700000;-3035300000;34900000;1973400000
NTRS;407194;USD;2016;Q1;2016-03-31;2016-04-28;228619089;229798000;245400000;34900000;2000000;58500000;-636300000;-295500000;-12000000;1875700000;;662500000;-88700000;-28500000;-135000000;-200000;203100000;569900000
NTRS;407194;USD;2016;Q2;2016-06-30;2016-07-27;227535701;229280000;263000000;47100000;-3000000;74600000;-593400000;-211700000;-20000000;-3509600000;;-5592900000;-88100000;2021900000;-119400000;4123100000;5200000;-1676300000
NTRS;407194;USD;2016;Q3;2016-09-30;2016-10-26;226540086;228055195;257600000;50400000;-3000000;69600000;804100000;1178700000;-26000000;3049200000;;-322300000;-87700000;-2039500000;463800000;-1301400000;25600000;-419400000
NTRS;407194;USD;2016;Q4;2016-12-31;2017-02-28;227627460;229472429;266500000;66500000;-22000000;-112800000;640300000;838500000;-53300000;-3372300000;;-4939400000;-91900000;1112900000;106800000;4715400000;-175200000;439300000
NTRS;407194;USD;2017;Q1;2017-03-31;2017-05-02;229059540;230630876;276100000;44600000;-1000000;64400000;400600000;784700000;-14300000;125200000;;1026500000;-92800000;-1034400000;-32900000;-2707600000;213600000;-682800000
